WL,AW_SB81,AW_P93,AW_PF97,BW_SB81,BBW,KW_SB81,KW_P93,KW_PF97
374.000,0.02680000,,0.01138800,0.01012000,0.005060000,0.03186000,,0.01644800
374.500,0.02640000,,0.01138650,0.01006000,0.005030000,0.03143000,,0.01641650
375.000,0.02600000,,0.01138500,0.01000000,0.005000000,0.03100000,,0.01638500
375.500,0.02560000,,0.01138350,0.009940000,0.004970000,0.03057000,,0.01635350
376.000,0.02520000,,0.01138200,0.009880000,0.004940000,0.03014000,,0.01632200
376.500,0.02480000,,0.01138050,0.009820000,0.004910000,0.02971000,,0.01629050
377.000,0.02440000,,0.01137900,0.009760000,0.004880000,0.02928000,,0.01625900
377.500,0.02400000,,0.01137750,0.009700000,0.004850000,0.02885000,,0.01622750
378.000,0.02360000,,0.01137600,0.009640000,0.004820000,0.02842000,,0.01619600
378.500,0.02320000,,0.01137450,0.009580000,0.004790000,0.02799000,,0.01616450
379.000,0.02280000,,0.01137300,0.009520000,0.004760000,0.02756000,,0.01613300
379.500,0.02240000,,0.01137150,0.009460000,0.004730000,0.02713000,,0.01610150
380.000,0.02200000,,0.01137000,0.009400000,0.004700000,0.02670000,,0.01607000
380.500,0.02185500,,0.01118400,0.009350000,0.004675000,0.02653000,,0.01585900
381.000,0.02171000,,0.01099800,0.009300000,0.004650000,0.02636000,,0.01564800
381.500,0.02156500,,0.01081200,0.009250000,0.004625000,0.02619000,,0.01543700
382.000,0.02142000,,0.01062600,0.009200000,0.004600000,0.02602000,,0.01522600
382.500,0.02127500,0.01020000,0.01044000,0.009150000,0.004575000,0.02585000,0.01477500,0.01501500
383.000,0.02113000,0.01006000,0.01023400,0.009100000,0.004550000,0.02568000,0.01461000,0.01478400
383.500,0.02098500,0.009920000,0.01002800,0.009050000,0.004525000,0.02551000,0.01444500,0.01455300
384.000,0.02084000,0.009780000,0.009822000,0.009000000,0.004500000,0.02534000,0.01428000,0.01432200
384.500,0.02069500,0.009640000,0.009616000,0.008950000,0.004475000,0.02517000,0.01411500,0.01409100
385.000,0.02055000,0.009500000,0.009410000,0.008900000,0.004450000,0.02500000,0.01395000,0.01386000
385.500,0.02040500,0.009420000,0.009362000,0.008850000,0.004425000,0.02483000,0.01384500,0.01378700
386.000,0.02026000,0.009340000,0.009314000,0.008800000,0.004400000,0.02466000,0.01374000,0.01371400
386.500,0.02011500,0.009260000,0.009266000,0.008750000,0.004375000,0.02449000,0.01363500,0.01364100
387.000,0.01997000,0.009180000,0.009218000,0.008700000,0.004350000,0.02432000,0.01353000,0.01356800
387.500,0.01982500,0.009100000,0.009170000,0.008650000,0.004325000,0.02415000,0.01342500,0.01349500
388.000,0.01968000,0.009020000,0.009038000,0.008600000,0.004300000,0.02398000,0.01332000,0.01333800
388.500,0.01953500,0.008940000,0.008906000,0.008550000,0.004275000,0.02381000,0.01321500,0.01318100
389.000,0.01939000,0.008860000,0.008774000,0.008500000,0.004250000,0.02364000,0.01311000,0.01302400
389.500,0.01924500,0.008780000,0.008642000,0.008450000,0.004225000,0.02347000,0.01300500,0.01286700
390.000,0.01910000,0.008700000,0.008510000,0.008400000,0.004200000,0.02330000,0.01290000,0.01271000
390.500,0.01900000,0.008640000,0.008466000,0.008360000,0.004180000,0.02318000,0.01282000,0.01264600
391.000,0.01890000,0.008580000,0.008422000,0.008320000,0.004160000,0.02306000,0.01274000,0.01258200
391.500,0.01880000,0.008520000,0.008378000,0.008280000,0.004140000,0.02294000,0.01266000,0.01251800
392.000,0.01870000,0.008460000,0.008334000,0.008240000,0.004120000,0.02282000,0.01258000,0.01245400
392.500,0.01860000,0.008400000,0.008290000,0.008200000,0.004100000,0.02270000,0.01250000,0.01239000
393.000,0.01850000,0.008340000,0.008258000,0.008160000,0.004080000,0.02258000,0.01242000,0.01233800
393.500,0.01840000,0.008280000,0.008226000,0.008120000,0.004060000,0.02246000,0.01234000,0.01228600
394.000,0.01830000,0.008220000,0.008194000,0.008080000,0.004040000,0.02234000,0.01226000,0.01223400
